"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.384426842133183,0.436027760540322,0.0260898626647498,0.0261804938930481,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.375264826894429,0.43142690983101,3.66556739505463e-05,3.44904073083779e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.97304865616889e-09,4.83253946221076e-09,6.66418573893042e-06,2.41075258467023e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",5.6569861887209e-13,1.5672633867112e-12,0.00036438361759632,0.000453369188057041,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.0775817315689e-38,5.20318036100409e-38,0.000622764218516389,0.000965947565062388,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.10339032220288,0.143221020100712,8.09106802760207e-05,6.82004705882353e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.00542393225769621,0.00898671128971235,1.79144445083381e-05,6.45717834224599e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",2.57384074990674e-41,1.3593096460445e-40,8.66212139160436e-05,0.000316613464349376,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.000338922462855267,0.000629427431016925,0.00111267673317999,0.00146044856684492,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.136154667862843,0.185565636038875,0.00509170294709603,0.00474550964884135,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.653962320455307,0.703946701636604,4.58539097182289e-05,0.000498520334224599,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.750146488438175,0.777759242613813,0.000380955324899367,0.000215412639928699,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.73105088908588,0.762639507750084,4.24678648648649e-05,3.40804099821747e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",2.57954397077122e-07,5.89112069000455e-07,0.110544209737205,0.0979270014126559,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.573694466787158,0.636052727816736,2.07747556066705e-05,8.39101515151515e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0200190930320446,0.0302073814501388,6.88529384703853e-06,3.64738057040998e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",3.7983622656731e-08,9.04117215350358e-08,0.0054048363225992,0.0063673314197861,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",4.24104924706925e-25,1.59274960612156e-24,6.87008844163312e-05,0.000128091157754011,FALSE
"RSV_genus201","Olsenella","Actinobacteria",2.17958399432843e-74,2.63106925029646e-73,3.92201328349626e-05,0.000207477778966132,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",4.87608360393913e-05,9.81021582221086e-05,2.1334847613571e-06,2.3714367201426e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",5.54207341567921e-28,2.23002477916616e-27,3.85225014376078e-06,1.58231443850267e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",1.65969079145212e-13,4.75402955517642e-13,0.00145886595514664,0.00185912213012478,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",3.63941495576318e-148,2.05020375841326e-146,2.5528201840138e-05,0.000229548479500891,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.265646844333687,0.327695742280242,0.000107501133985049,1.33357673796791e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.06541868258926e-52,7.20223029430338e-52,6.42014491086831e-06,7.02433814616756e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.00691214803133862,0.0111252668313926,0.000114844124209316,1.39717540106952e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.14542659982595e-45,6.67507225415813e-45,0.0146088085146636,0.0247014104447415,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",6.45789296009146e-96,9.92167191141324e-95,0.000649868285221392,0.00172223127361854,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",4.06823070717287e-06,8.92897388976902e-06,0.0216884761673376,0.0238198662745098,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",1.7797510629452e-21,6.01555859275479e-21,0.0224970387032777,0.0290462382245989,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",2.18152741830087e-21,7.22898301358525e-21,0.00140885055261645,0.00189219481105169,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.00523381478405321,0.00875757127232665,0.00625872606210466,0.0057239428057041,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",6.0487192896858e-05,0.000117498110339874,0.0762661642472686,0.0823553578814616,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.00718702394728192,0.0114585570480249,0.000340551119608971,1.93891996434938e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0118319414000276,0.0183449366660978,0.000186711968372628,5.00158832442068e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",3.96137315932045e-08,9.29822311007162e-08,1.55048217366302e-05,4.05553003565062e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.94300134075095e-11,5.21217819979222e-11,0.00593138869925245,0.00358208645276292,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.00189939810772175,0.00330926062066985,0.0030323428625647,0.00310569263101604,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.325414244518986,0.38190977308131,1.14394571592869e-05,2.61863903743316e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.290014635210112,0.34760619397524,0.00112857258194365,0.000896960001782531,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.26066184081539,0.323910669836771,1.4030156986774e-05,3.12174331550802e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",5.92432806743142e-05,0.000116419935278594,0.0511491114864865,0.0440747228761141,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.00149475125112817,0.00265908380463853,0.000438632262794709,8.27426978609626e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",2.42262595057201e-05,4.99297299569109e-05,0.00186988719838988,0.00147635404099822,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.283211324004746,0.3418765268343,4.14004140310523e-06,2.79012655971479e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",4.72417793250199e-11,1.22828626245052e-10,0.0249023802248419,0.0211041632709447,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",6.0456103266781e-23,2.08511866369102e-22,0.00341101085221392,0.0066557216167558,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.939637529236797,0.950695401433124,1.42927774583094e-06,1.44113636363636e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.663504983764129,0.709698368709733,0.000197626994249569,1.71036363636364e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.604702751912364,0.663602370605127,0.000170275361127085,0.000150461965240642,FALSE
"RSV_genus530","Streptococcus","Firmicutes",6.09603902002719e-15,1.90783443404555e-14,0.332391800213341,0.298670712321747,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",1.55594213786252e-05,3.28692776623458e-05,5.92935330649799e-05,4.77316818181818e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.00397302586512747,0.00685144256333207,9.89881196089707e-06,1.79737281639929e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",5.71047423242227e-125,1.37867163611338e-123,7.07083726279471e-05,0.000526611600713012,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",7.79122986452072e-135,3.29179461776e-133,1.71771213341001e-05,0.000168050150623886,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.227113900123669,0.288104622777976,0.000100423581368603,1.37793921568628e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",1.90241070169227e-32,8.46072127857876e-32,7.69559229442208e-06,5.88247415329768e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.174779650333068,0.232580794537705,8.22715048878666e-05,1.99825909090909e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",1.58431822749656e-24,5.69680383929615e-24,1.97481081081081e-06,4.55637540106952e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",3.68129288347133e-77,4.78568074851273e-76,0.00295827252961472,0.00703967780035652,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.0280953480207263,0.0416501211886206,4.64252990224267e-05,6.3397958110517e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",1.10817324672887e-24,4.07133214559083e-24,7.15187464059805e-06,4.06585561497326e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",1.54736026247594e-73,1.63439927724021e-72,5.56614473835537e-05,0.000170712198752228,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",7.13303368963192e-133,2.41096538709559e-131,0.000109897712478436,0.00114335091265597,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",1.79302079435262e-37,8.41723650682201e-37,0.00217385182058654,0.0034081366862745,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",6.3915839583733e-56,5.14370328078613e-55,0.000725154565267394,0.00189037285828877,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",2.36657033382195e-32,1.02551381132285e-31,0.00152220272685452,0.0024593206399287,FALSE
"RSV_genus589","Blautia","Firmicutes",0.0121405275990068,0.0186522651293832,0.000138696369177688,3.09864162210339e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.257512079005026,0.322366972976662,0.000205836438182864,0.000193449068627451,FALSE
"RSV_genus592","Catonella","Firmicutes",2.53688150924964e-11,6.69895273536233e-11,0.000610001727429557,0.000928624333333334,FALSE
"RSV_genus600","Howardella","Firmicutes",1.17484601904726e-61,1.04499461694204e-60,8.65154686601495e-06,3.85194616755793e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.53669630913985,0.600673352613475,2.2196228867165e-05,2.71620837789661e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",7.883237936763e-18,2.51371171945839e-17,0.00022814903680276,0.00032274477540107,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.158868820045631,0.21308595704533,0.00239553181023577,0.00231092777361854,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.228437984924549,0.288104622777976,8.99509079930995e-05,0.000118859094474153,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.188247085499986,0.246618274802307,7.09236043703278e-05,6.10638404634581e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",1.31896882162964e-53,9.28773878564204e-53,1.81668487636573e-06,3.47085819964349e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.668198479197261,0.710223540781995,0.00313694670385279,0.00289772153030303,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",1.84715074893498e-41,1.00699508570972e-40,0.000120179048303623,0.000280257117647059,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",7.07338301455785e-10,1.78418168576161e-09,0.00249800355549166,0.00308572937522282,FALSE
"RSV_genus644","Peptococcus","Firmicutes",6.3568176617638e-51,4.13193148014647e-50,0.000375053698677401,0.00108722099910873,FALSE
"RSV_genus646","Filifactor","Firmicutes",3.29278070175816e-123,6.95599923246411e-122,0.000475726279470961,0.00300042240909091,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",3.76469123180934e-39,1.87127299463464e-38,0.000178266243243243,0.000426761877005348,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",7.41611633165623e-28,2.91470618616257e-27,0.00258858966589994,0.00463241394206773,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",4.70003992240297e-06,1.01834198318731e-05,2.03424669350201e-06,4.01005704099822e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.0685307385412744,0.0998421966678911,0.000348339384128809,0.00017571126916221,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",2.37507927992832e-05,4.95541232478871e-05,2.14445773433007e-06,9.74716844919786e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.649976286261993,0.703946701636604,0.000168623498562392,5.0318944741533e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.918195081439337,0.934788968453301,1.50297004025302e-05,4.9290008912656e-06,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",1.06321230922185e-06,2.3957717367799e-06,0.00169945347613571,0.00179377910695187,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0638931067364122,0.0938950872909013,0.00010344396147211,8.38484572192513e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.271026803896153,0.331909636655433,0.000106571151236343,9.95992406417112e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.146366173849034,0.197887067043893,0.000136793155261645,4.11172370766488e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",3.31731029504539e-30,1.36737912161627e-29,1.25421506612996e-07,1.6410940285205e-05,FALSE
"RSV_genus698","Bulleidia","Firmicutes",3.92619028140292e-58,3.31763078778547e-57,0.000202904294422082,0.000592029615864529,FALSE
"RSV_genus703","Eggerthia","Firmicutes",3.47680680612459e-74,3.91720233490037e-73,3.84477538815411e-05,0.000227800317290553,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",1.35137419079222e-11,3.68358448780459e-11,5.022932719954e-07,4.20523172905526e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",5.37496719923661e-48,3.36433132100366e-47,2.92871270845313e-05,9.63168012477718e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.381834107121319,0.436013270969614,1.57441173087982e-05,1.68335962566845e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",2.67186633729118e-08,6.45064872860299e-08,0.00273399482518689,0.00330006790285205,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.357494905735495,0.41381259636506,1.9686443933295e-05,2.1975688057041e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",4.42936670647553e-97,7.48562973394365e-96,0.000415146795284647,0.00162707556862745,TRUE
"RSV_genus728","Centipeda","Firmicutes",7.10960307415624e-31,3.00380729883101e-30,1.65776256469235e-05,0.000145042665775401,FALSE
"RSV_genus729","Dialister","Firmicutes",3.88262347888711e-73,3.85978451724659e-72,0.00160505195917194,0.00309262240730837,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.00435592232611712,0.00736150873113794,0.00502101981828638,0.00551921402406418,FALSE
"RSV_genus735","Selenomonas","Firmicutes",8.56142705189964e-82,1.2057343098092e-80,0.000323949359401955,0.00110578903921569,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",3.19891610285937e-13,9.01028035638723e-13,0.001396862493387,0.00164720578787879,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",6.93181025701119e-71,6.50819963019384e-70,3.5717937320299e-05,0.000157684868092692,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.00169692491713798,0.00298729490621165,0.0598304214519838,0.0551650987976827,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",1.03716997384544e-40,5.3115674418145e-40,0.0217296502156412,0.0320527823912656,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",1.13311678631029e-07,2.62324297104711e-07,0.0180127312386429,0.0195036078573975,TRUE
"RSV_genus749","Sneathia","Fusobacteria",0.00659376130077752,0.0107148621137635,4.01328729154687e-05,5.54750561497326e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.714122765634768,0.749607126660099,0.000663711122484187,0.000483680296791444,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.0789375299881255,0.114020876649515,0.000166606994249569,2.42101818181818e-05,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.0904322966227433,0.127358817743697,0.000175726398504888,3.03853877005348e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.847802054449982,0.868354831527557,0.000161630732604945,0.000320988965240642,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.187950732856152,0.246618274802307,0.000121645485911443,0.000623375603386809,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.575834718082607,0.636052727816736,2.05569810235768e-05,3.88298573975045e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.0139399576424962,0.0212238994737105,3.00523732029902e-05,4.04099795008913e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.0883432924843766,0.125462322939997,3.20487809085681e-06,3.63126096256684e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.097522544148184,0.136209173231761,0.000164611238642898,0.000122505684491979,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.0806967003377498,0.115574087771862,4.81247268545141e-06,3.3876550802139e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.000144604601327681,0.000277706563913387,0.000208883245543416,9.82945926916221e-05,FALSE
"RSV_genus993","Lautropia","Proteobacteria",1.45400030026973e-10,3.7231219809937e-10,0.00156281717711328,0.00102827259803922,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",1.21405769854064e-20,3.94568752025708e-20,0.000307261483036228,0.000511837929590018,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",2.43837283505374e-23,8.58510435675172e-23,8.56926618746405e-05,3.19413556149733e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.845165352312091,0.868354831527557,0.000437078679125934,0.000458035428698752,FALSE
