"OTU","Genus","Phylum","p_value","p_adj_BH","control","Poor.oral.hygiene","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0175932432319934,0.0291495892765381,0.0260898626647498,0.0252541438143284,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.451057535179614,0.522114544146265,3.66556739505463e-05,3.27849570149254e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",4.1291337228928e-08,1.10765650661728e-07,6.66418573893042e-06,3.02689570149254e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",6.81055927811135e-09,1.88685986557511e-08,0.00036438361759632,0.00039129368,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",9.85466357869262e-31,5.20449420249704e-30,0.000622764218516389,0.000856500881791045,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.946989283277061,0.958330472298344,8.09106802760207e-05,7.5935639402985e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.210581250648785,0.27375562584342,1.79144445083381e-05,4.97753605970149e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.16010295293135e-32,6.3244322272709e-32,8.66212139160436e-05,0.000309072170746268,FALSE
"RSV_genus51","Scardovia","Actinobacteria",7.32821349270561e-06,1.67360551387466e-05,0.00111267673317999,0.00148864609671642,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.257529926268991,0.322389315107108,0.00509170294709603,0.00467969510567164,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.50201509965322,0.569399676787881,4.58539097182289e-05,0.00034506952358209,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.89572409659334,0.917438620147118,0.000380955324899367,0.000225300333134328,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.843802279355723,0.880262871673563,4.24678648648649e-05,2.85865946268657e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",5.78537263701687e-08,1.52769996196227e-07,0.110544209737205,0.0980341088614927,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.64940362354304,0.708059434701766,2.07747556066705e-05,8.51131582089552e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.143374852685354,0.193842800830599,6.88529384703853e-06,6.32622029850746e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",6.30451767976659e-07,1.54414998243559e-06,0.0054048363225992,0.00623382185671642,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",3.91109431003326e-23,1.69480753434774e-22,6.87008844163312e-05,0.000114567450746269,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.05898121871235e-63,1.37667558432605e-62,3.92201328349626e-05,0.000174579528955224,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.0140958332074598,0.023821958120607,2.1334847613571e-06,1.72116597014925e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",4.67659639445634e-18,1.68158466098536e-17,3.85225014376078e-06,1.25208053731343e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",4.77264606669312e-09,1.34429530878523e-08,0.00145886595514664,0.00230055025492537,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",4.51619362880927e-111,2.54412241089589e-109,2.5528201840138e-05,0.000171215275223881,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.244750471613256,0.310998719568723,0.000107501133985049,9.24508507462687e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",6.91031845509473e-35,3.89281272970336e-34,6.42014491086831e-06,5.03842776119403e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0214644511880635,0.0348797331806032,0.000114844124209316,6.83031958208955e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",6.45791318575141e-35,3.76340458066203e-34,0.0146088085146636,0.0221389660137313,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",5.7067745729296e-70,8.76768093477365e-69,0.000649868285221392,0.00139349330865672,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",6.16410705864736e-06,1.42703300398823e-05,0.0216884761673376,0.023902929319403,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",2.11117525988284e-16,6.99585527294511e-16,0.0224970387032777,0.0274590154185074,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.49931780397238e-18,5.5083632363333e-18,0.00140885055261645,0.00239484036238806,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.020106683169644,0.032990577239513,0.00625872606210466,0.00555271246507463,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",4.01510013708383e-05,8.69938363034829e-05,0.0762661642472686,0.0819053329289553,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.00586323512906571,0.0106546960947538,0.000340551119608971,0.000184260217313433,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0217043306548147,0.0349336369587018,0.000186711968372628,4.9952871641791e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",1.9837614965285e-05,4.35397003783528e-05,1.55048217366302e-05,2.52220776119403e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.0455221887552e-05,2.32491118288986e-05,0.00593138869925245,0.00415873972119403,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",9.48003863127668e-05,0.000202800826415919,0.0030323428625647,0.00321092834029851,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.696061329082244,0.74774548148256,1.14394571592869e-05,1.46204811940299e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.813658330067007,0.854088557647977,0.00112857258194365,0.00115511207880597,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.510549220973394,0.575218788963357,1.4030156986774e-05,6.73617014925373e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.0125354537319727,0.0213989058656908,0.0511491114864865,0.0465926434931343,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.0403656836715958,0.0603699162876078,0.000438632262794709,0.000117454587462687,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.00200387907182787,0.00380511868695404,0.00186988719838988,0.00168646089970149,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.140926971690176,0.192069824319675,4.14004140310523e-06,2.23802865671642e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",1.94652567507951e-08,5.30585224336189e-08,0.0249023802248419,0.0221195545116418,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",5.3432507214589e-17,1.84287626923786e-16,0.00341101085221392,0.00574217387283582,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.90961932079905,0.926058224186985,1.42927774583094e-06,4.05199044776119e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.69907565724405,0.74774548148256,0.000197626994249569,2.67598089552239e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.556697983718096,0.618960258212883,0.000170275361127085,0.000114887857910448,FALSE
"RSV_genus530","Streptococcus","Firmicutes",1.65132547465642e-11,5.07407282212609e-11,0.332391800213341,0.304956220352239,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.000256614652107214,0.000528876539099015,5.92935330649799e-05,0.000102918414925373,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.00151652218103105,0.00291241191584372,9.89881196089707e-06,1.34924011940298e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",8.29272225542996e-83,1.55718895685296e-81,7.07083726279471e-05,0.000384209810746269,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",5.12603492910197e-95,2.16574975754558e-93,1.71771213341001e-05,0.000146682536119403,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.732302864510611,0.778359648442096,0.000100423581368603,2.10276197014925e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",2.35734925363595e-19,9.05436417873808e-19,7.69559229442208e-06,4.27797235820896e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.147116102217177,0.197322391069071,8.22715048878666e-05,2.24436370149254e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",2.24200840019848e-17,7.89373790903216e-17,1.97481081081081e-06,3.49048423880597e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",5.56537023003611e-60,6.27031712584068e-59,0.00295827252961472,0.00602741433074628,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.026848202190219,0.042332598002146,4.64252990224267e-05,7.0429047761194e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",3.29346797459569e-16,1.0703770917436e-15,7.15187464059805e-06,3.238396e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",1.13867384780623e-49,1.04382911717195e-48,5.56614473835537e-05,0.000135585425074627,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",2.60253720985959e-94,8.79657576932543e-93,0.000109897712478436,0.000816310179104479,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",1.54069922484449e-27,7.43937625710623e-27,0.00217385182058654,0.00304692282686567,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",5.67530495446607e-41,4.35966607865803e-40,0.000725154565267394,0.00161000238865672,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",9.60789771151445e-25,4.388472197962e-24,0.00152220272685452,0.00222778218447761,FALSE
"RSV_genus589","Blautia","Firmicutes",0.0731645847981385,0.10390600698223,0.000138696369177688,5.69977534328358e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.63119975415316,0.692680249687559,0.000205836438182864,0.000186201391044776,FALSE
"RSV_genus592","Catonella","Firmicutes",2.55772786291736e-07,6.54933346716717e-07,0.000610001727429557,0.000815696313432836,FALSE
"RSV_genus600","Howardella","Firmicutes",1.17353569386196e-49,1.04382911717195e-48,8.65154686601495e-06,3.21969564179104e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.695055368810496,0.74774548148256,2.2196228867165e-05,3.84103110447761e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",7.18673371415001e-14,2.29161886356859e-13,0.00022814903680276,0.000298276545671642,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.241032310737006,0.30859439783753,0.00239553181023577,0.00230027551582089,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.253850730907945,0.320155026294348,8.99509079930995e-05,0.000215577773134328,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.885154261225173,0.91214067162838,7.09236043703278e-05,6.85076871641791e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",1.76586797047063e-35,1.06582745360549e-34,1.81668487636573e-06,2.52082310447761e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.769256909351464,0.812527610502484,0.00313694670385279,0.00294216452059702,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",9.0810764533786e-40,6.67261704617819e-39,0.000120179048303623,0.000259557431641791,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",1.3024442229405e-06,3.10018413629498e-06,0.00249800355549166,0.00282535551880597,FALSE
"RSV_genus644","Peptococcus","Firmicutes",6.49889338455251e-38,4.3932519279575e-37,0.000375053698677401,0.000879323179104477,FALSE
"RSV_genus646","Filifactor","Firmicutes",3.54932390246185e-88,8.56908199308646e-87,0.000475726279470961,0.00221259072059702,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",1.20417462851054e-28,5.98545624171418e-28,0.000178266243243243,0.000357510650746268,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",2.32333590911373e-21,9.57667728390783e-21,0.00258858966589994,0.00411489352179104,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",2.55931864978624e-06,6.00728960852602e-06,2.03424669350201e-06,8.88790865671642e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.572740301382062,0.632634711984108,0.000348339384128809,0.000313169849552239,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.00296351710647423,0.00556482656660161,2.14445773433007e-06,7.2164752238806e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.325046984773123,0.395201010263725,0.000168623498562392,0.000310286974925373,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.987368169238482,0.987368169238482,1.50297004025302e-05,1.73350405970149e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",3.81491965898535e-07,9.62270779654513e-07,0.00169945347613571,0.00178387541731343,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0430125697229343,0.0632097763754426,0.00010344396147211,8.76716244776119e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.0270527845220815,0.042332598002146,0.000106571151236343,0.000220088222089552,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.131896550124042,0.181223715211082,0.000136793155261645,3.86933713432836e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",4.23660151529526e-19,1.59107923574422e-18,1.25421506612996e-07,9.80991044776119e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",2.88117446747012e-43,2.43459242501225e-42,0.000202904294422082,0.000491588540895523,FALSE
"RSV_genus703","Eggerthia","Firmicutes",2.42985359195373e-59,2.56653285650112e-58,3.84477538815411e-05,0.00018440236238806,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",1.27603379003261e-07,3.3176878540848e-07,5.022932719954e-07,2.64460895522388e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",1.38327666916116e-41,1.11320836708684e-40,2.92871270845313e-05,8.47238973134328e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.184113680741669,0.243087594104235,1.57441173087982e-05,3.61909940298507e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",6.8881078061009e-07,1.66298602747293e-06,0.00273399482518689,0.00318515429253732,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.0368917694075223,0.05616854981866,1.9686443933295e-05,5.12670949253731e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",9.80657674080274e-79,1.65731146919566e-77,0.000415146795284647,0.00130801266149254,TRUE
"RSV_genus728","Centipeda","Firmicutes",9.21903685451525e-21,3.70956482955495e-20,1.65776256469235e-05,0.000102866380298507,FALSE
"RSV_genus729","Dialister","Firmicutes",3.92174226180968e-62,4.73410315889883e-61,0.00160505195917194,0.00280825485432836,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.0123633238960174,0.0213204259023158,0.00502101981828638,0.00537410163104477,FALSE
"RSV_genus735","Selenomonas","Firmicutes",1.07135842635904e-65,1.50882978378899e-64,0.000323949359401955,0.000942443567761194,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",1.80496877353785e-10,5.44713790585529e-10,0.001396862493387,0.00154043141432836,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",2.01516218662435e-58,2.00330829140892e-57,3.5717937320299e-05,0.000130887805970149,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.022932036741097,0.0365614548042017,0.0598304214519838,0.0565860668865672,TRUE
