"OTU","Genus","Phylum","p_value","p_adj_BH","control","Angina","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.862800285207893,0.922868659494519,0.0264003204196364,0.0256842484142857,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.177655836845813,0.361503802861848,3.83482396363636e-05,1.39263571428571e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.633195267456044,0.769856116547277,2.44203581818182e-05,7.44520142857143e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0716448057702203,0.191008068944554,0.000365623028,0.00105247605714286,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0117869428362777,0.0510767522905367,0.000820955078181817,0.00146172631428571,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.651447466721448,0.780812921105849,8.72923418181818e-05,4.80586e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.714709988845105,0.821673388536209,5.23008305454545e-05,0.000217650142857143,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.058932785937269,0.171717945231008,0.000220258513818182,0.000167234114285714,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.27658305017821,0.476964647756301,0.00137838485927273,0.000944023714285714,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000494057104189615,0.00834956506080449,0.00491431023672728,0.00320458291428571,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.00101230907243807,0.0131600179416949,0.000330139621090909,4.93089142857143e-05,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.485004874674094,0.67174478384602,0.000284966473818182,9.70777285714286e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.632360906850351,0.769856116547277,3.0563376e-05,2.06594285714286e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0108807358272919,0.051029135335195,0.102601586236364,0.138893160128571,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.301469391976135,0.499493404352617,2.01341214545454e-05,1.77548e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.79318752385002,0.88773967901095,5.77126872727273e-06,2.49e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.881410288130864,0.931943422070146,0.00594374278181818,0.00596746204285714,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.666724173875267,0.785116793123339,9.18645334545455e-05,7.9435e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.190469604818829,0.365788218345251,0.000126498141818182,0.000102223542857143,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.936641970562738,0.97111958911106,1.69779963636364e-06,1.87142857142857e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.817355638181336,0.896968200341856,9.67346e-06,5.93142857142857e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.813335336499503,0.896968200341856,0.00109256124436364,0.00661865965714286,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.30449609378744,0.499610095631819,0.000124930004,9.03038142857143e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.187069459430399,0.363387800502729,0.000127973106181818,1.15235285714286e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.239140103872947,0.439289973418782,3.37328512727273e-05,1.30717857142857e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.96114973743121,0.984450337126512,6.59804029090909e-05,0.000109540114285714,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.0107173836407881,0.051029135335195,0.0189265405999999,0.0152126543714286,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.002136305514216,0.0164107105410229,0.001140682888,0.000775233514285714,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",4.66478581947731e-06,0.000788348803491665,0.0231263851381818,0.0124799184714286,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.0891432437583163,0.216011818537503,0.0269819593796364,0.0249457859285714,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.00180766982669247,0.0160648117360076,0.002038417492,0.00127869312857143,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.479211971954975,0.66931258892885,0.00556697774036365,0.00539697022857143,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.254617439415605,0.448232783971222,0.079268885846909,0.0721871401428571,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.179873987263328,0.361503802861848,0.000210420472363636,0,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0865202990741085,0.216011818537503,0.000133819138909091,0.000124140685714286,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.0723344166417247,0.191008068944554,2.83582345454545e-05,1.09705571428571e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.000228456856287857,0.00482615108908097,0.00472671352727272,0.00143358588571429,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.00136322819970209,0.0143164776425545,0.00313383203781819,0.00220191442857143,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.518529720751823,0.67408863697737,1.53993483636364e-05,1.86775714285714e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.248906252670681,0.445555077408106,0.00128637445490909,0.00248399061428571,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.968350324436451,0.98585063150458,7.19863090909091e-06,1.67655714285714e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.0163978047251336,0.0623175252111563,0.0474360664145454,0.0401392405142857,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.00152483193826024,0.0143164776425545,0.000291499650909091,0.000180211671428571,TRUE
"RSV_genus499","Abiotrophia","Firmicutes",0.00200165163981852,0.0161085298633014,0.00151395832145455,0.0016128741,TRUE
"RSV_genus510","Dolosigranulum","Firmicutes",0.152918383665736,0.33562606285077,3.40007927272727e-06,4.25472857142857e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.511096482636323,0.67408863697737,0.0226921214825455,0.0258847773142857,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.00881988107366441,0.0484731473596659,0.00465615702872727,0.0122858532142857,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.379966654800213,0.568268713816249,3.07296261818182e-05,0,FALSE
"RSV_genus525","Weissella","Firmicutes",0.364353580350087,0.55977959162877,0.000125008264,0,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.989733173933407,0.995624442825868,0.000145915523636364,8.69923285714286e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.0913769657369482,0.216011818537503,0.314954038696,0.338785423314286,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.315959447568622,0.51343410229901,2.61234563636364e-05,0.000562327942857143,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.356872164986349,0.554207462947515,5.93250654545454e-06,0,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.03303037149684,0.109453583979725,0.000291873706545454,0.000208849414285714,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.273178235362917,0.47594970903436,9.77305585454545e-05,4.64497857142857e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",6.29411539983232e-05,0.00233914061313251,4.62562189090909e-05,5.90582428571429e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.692188465597147,0.801231854013136,3.32202716363637e-05,1.02444285714286e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0165934238727931,0.0623175252111563,4.25314323636364e-05,4.60382e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.243464245237454,0.442424273603545,2.91351349090909e-05,1.46016571428571e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.155445121679063,0.336797763637971,0.00488086447418182,0.00422725424285714,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.6588694747077,0.784147473419728,5.55397138181818e-05,0.000165632,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.575311494715312,0.726193102238172,2.34220389090909e-05,8.96882714285714e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.00396828911051022,0.0268256343870491,0.000122288470545455,6.26321714285714e-05,TRUE
"RSV_genus579","Incertae Sedis","Firmicutes",0.0165637558621929,0.0623175252111563,0.000612991496,0.000442580728571428,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.00973957401845856,0.0506914754953833,0.0027886959629091,0.00218531581428571,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.0115546288909953,0.0510767522905367,0.00138371456763637,0.00103660584285714,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.22037196459819,0.413809577967712,0.00201779577890909,0.00182017311428571,FALSE
"RSV_genus589","Blautia","Firmicutes",0.0384917196705818,0.12046482637645,8.54126418181818e-05,2.28841857142857e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.3768713288027,0.568268713816249,0.000205211633454545,0.000218234471428571,FALSE
"RSV_genus592","Catonella","Firmicutes",0.00989833545176124,0.0506914754953833,0.000813160207272726,0.000692209385714286,FALSE
"RSV_genus600","Howardella","Firmicutes",0.616158510928791,0.766020837881944,2.33663727272727e-05,2.40889428571429e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.511362433784945,0.67408863697737,1.59304534545455e-05,0.000148173442857143,FALSE
