"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.585795952436189,0.724528489721272,0.0264003204196364,0.0261539686204188,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00405056538212722,0.015468579007959,3.83482396363636e-05,3.3099195026178e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0243953689102174,0.0664970539649473,2.44203581818182e-05,3.77737277486911e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.101964496892155,0.200372092729933,0.000365623028,0.000354360901832461,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.336949179335324,0.503932843430705,0.000820955078181817,0.000717648043193717,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.148629809820104,0.267217424038272,8.72923418181818e-05,6.05829162303665e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.985002904737262,0.985002904737262,5.23008305454545e-05,5.09836426701571e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.743701541811242,0.831236571673149,0.000220258513818182,0.000242218164921466,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.000103611705864498,0.000648532529300003,0.00137838485927273,0.00216041634162304,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.60988897049041,0.740710264319602,0.00491431023672728,0.00490906017408377,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0439036152507525,0.104502971512355,0.000330139621090909,0.000576672367801047,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.72884519550629,0.826676765372906,0.000284966473818182,7.12015314136126e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.205659840694935,0.344123891855881,3.0563376e-05,3.30121623036649e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.023710320844164,0.0656892495518643,0.102601586236364,0.109421501460733,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.563989982473925,0.711300798791742,2.01341214545454e-05,1.20515405759162e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.673294529097359,0.784736382189335,5.77126872727273e-06,5.81630890052356e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.196083579471013,0.335739649194228,0.00594374278181818,0.00634553759424084,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.10833668169335,0.210447117312369,9.18645334545455e-05,0.000102239222513089,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.0536666791353556,0.124242037998289,0.000126498141818182,0.00011211857460733,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.469970413797902,0.610961537937272,1.69779963636364e-06,6.44240837696335e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0269229291406557,0.072221825790013,9.67346e-06,8.13623036649214e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0732677089373622,0.156737250764737,0.00109256124436364,0.00239912620287958,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",6.59850394384903e-05,0.000506344912157682,0.000124930004,0.000112530929319372,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.424795780479554,0.591985759139204,0.000127973106181818,0.000152511454188482,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.76579278070987e-06,3.7302372492496e-05,3.37328512727273e-05,2.5154057591623e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0195641641227654,0.0564085872743157,6.59804029090909e-05,4.91779777486911e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.0027905000745374,0.011096408521146,0.0189265405999999,0.017095433947644,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",1.55109205213383e-05,0.000154196798123893,0.001140682888,0.00105509229973822,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.130670598491733,0.242673968627504,0.0231263851381818,0.0222020570104712,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",6.58555825718906e-06,7.62702764128274e-05,0.0269819593796364,0.0229909205837696,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.000239461851898809,0.00139548458520341,0.002038417492,0.00150282197251309,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0517714268304015,0.12151904353247,0.00556697774036365,0.00663426515183246,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.288018101805614,0.454907095375223,0.079268885846909,0.0776002454777487,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.444025575182585,0.595558112744895,0.000210420472363636,0.000264234918848167,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.312246006406736,0.473331750983007,0.000133819138909091,2.86854280104712e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.898776530785525,0.924937503912387,2.83582345454545e-05,3.49703337696335e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.0352770614725985,0.0876738733657229,0.00472671352727272,0.00456642456806283,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.0277320780077458,0.0732300184892036,0.00313383203781819,0.00285832289267016,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.631225667296026,0.756575445198783,1.53993483636364e-05,5.65773952879581e-06,FALSE
