"OTU","Genus","Phylum","p_value","p_adj_BH","control","Breast.cancer","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.778183346288488,0.932882917241449,0.0264003204196364,0.0231156487575758,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0473321486633327,0.32681621067481,3.83482396363636e-05,3.97227272727273e-06,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.80040250295864,0.932882917241449,2.44203581818182e-05,3.39448484848485e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.349872283356846,0.730480726226159,0.000365623028,0.000126884181818182,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.433875718587503,0.773497773590198,0.000820955078181817,0.000924903484848485,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.670687583916987,0.913320467042266,8.72923418181818e-05,1.94992424242424e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.756004396481561,0.932882917241449,5.23008305454545e-05,2.58223333333333e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.294453587925787,0.719679584027052,0.000220258513818182,0.000269313848484849,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.687239183887373,0.913320467042266,0.00137838485927273,0.000823502666666666,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0235314301459419,0.248550730916512,0.00491431023672728,0.00311467045454546,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.954906501250642,0.970065586421968,0.000330139621090909,4.98983333333333e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.145553547669566,0.527197863441126,0.000284966473818182,0.00284324887878788,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.673987004173614,0.913320467042266,3.0563376e-05,8.30093939393939e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.532583862832656,0.833395118691841,0.102601586236364,0.114424636030303,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.132055176363809,0.5190075536159,2.01341214545454e-05,1.14581212121212e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.329327367181429,0.719679584027052,5.77126872727273e-06,9e-07,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.937546910071707,0.960275320012839,0.00594374278181818,0.00537974809090909,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.622608920693777,0.894741742263759,9.18645334545455e-05,0.000112948696969697,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.493663803822156,0.79456364615185,0.000126498141818182,8.33012727272727e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.474809341928435,0.787905312702162,1.69779963636364e-06,0,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.049939020862604,0.32681621067481,9.67346e-06,1.89786060606061e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.196574330883151,0.604019307622774,0.00109256124436364,0.000114866939393939,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.313212822480191,0.719679584027052,0.000124930004,0.000292933939393939,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.707958468535721,0.913320467042266,0.000127973106181818,8.38484848484849e-06,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.185177130388413,0.5904704723706,3.37328512727273e-05,1.53636363636364e-06,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.314314629911493,0.719679584027052,6.59804029090909e-05,0,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.00607501997354528,0.121642582500821,0.0189265405999999,0.0134792456969697,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.172212442760946,0.570664761305881,0.001140682888,0.00115734439393939,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.0153840693650313,0.216658976890858,0.0231263851381818,0.0167000578484849,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.329043729341969,0.719679584027052,0.0269819593796364,0.0233675035757576,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.00406509507838217,0.0981430097495123,0.002038417492,0.000887132393939394,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0973818181098532,0.469205826332139,0.00556697774036365,0.00968810063636363,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.192296115675109,0.601815621279508,0.079268885846909,0.0986004483939394,FALSE
