"OTU","Genus","Phylum","p_value","p_adj_BH","control","Bronchitis","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.657883187149901,0.79415899020238,0.0264003204196364,0.0263260492195122,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00024359759541316,0.00121082334190659,3.83482396363636e-05,2.54462048780488e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",2.90708664250368e-06,3.07061026614451e-05,2.44203581818182e-05,7.03412585365854e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.338059820172653,0.49251818628602,0.000365623028,0.0004293314,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",2.8858020641672e-06,3.07061026614451e-05,0.000820955078181817,0.00123094049756098,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.247194364529497,0.383264656931056,8.72923418181818e-05,9.65646146341463e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.015071947346307,0.0480596056891676,5.23008305454545e-05,0.000187371517073171,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.000148698890535155,0.000785316015638787,0.000220258513818182,0.000316270648780488,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.0720448726385637,0.159613889083145,0.00137838485927273,0.00191477849268293,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.00892535865974951,0.0320933109254823,0.00491431023672728,0.00458261846341463,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",5.78451823520726e-05,0.000337097786810354,0.000330139621090909,0.000365208551219512,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.313943412772164,0.465407339986805,0.000284966473818182,0.00188031138536585,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.173103798690256,0.311218531687801,3.0563376e-05,1.31913170731707e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",7.1965085650947e-06,5.95838713121024e-05,0.102601586236364,0.128556068721951,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.769362716071318,0.853954612406309,2.01341214545454e-05,1.53550634146341e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0531849840276857,0.124836976398318,5.77126872727273e-06,1.26536585365854e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.18039739450347,0.31757457990715,0.00594374278181818,0.00639807945365854,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0222028713997283,0.0648789021001818,9.18645334545455e-05,0.000140398629268293,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.897361606753002,0.936136490995416,0.000126498141818182,0.000120928102439024,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.319631221226627,0.469718925106956,1.69779963636364e-06,1.82461951219512e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0451659221006662,0.113925982612128,9.67346e-06,1.61277073170732e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.245859230865351,0.383264656931056,0.00109256124436364,0.00204458460487805,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.538988889990928,0.700685556988206,0.000124930004,9.71310048780487e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.430821589630975,0.596793841374056,0.000127973106181818,0.000185484341463415,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.0383123172148011,0.104431961440345,3.37328512727273e-05,1.25548195121951e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.729066122367951,0.82692734684687,6.59804029090909e-05,4.76644975609756e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",7.403913003279e-06,5.95838713121024e-05,0.0189265405999999,0.0142339777707317,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",5.3221341515669e-06,4.95124908550993e-05,0.001140682888,0.00086692227804878,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",6.41085694228316e-07,8.33411402496811e-06,0.0231263851381818,0.0175449222439024,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.000148081591564265,0.000785316015638787,0.0269819593796364,0.0223837584292683,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",3.13029409139077e-05,0.0002034691159404,0.002038417492,0.00134140031707317,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.517374798381944,0.699490727412388,0.00556697774036365,0.00627982985365854,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.770514678358511,0.853954612406309,0.079268885846909,0.0810581189365853,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.34364043508687,0.496369517347701,0.000210420472363636,6.23900975609756e-06,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.445859097161569,0.612603149758579,0.000133819138909091,2.82502390243902e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.630749694471048,0.766882722054728,2.83582345454545e-05,5.36720634146342e-05,FALSE
