"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.126119537368955,0.614956864632649,0.0264003204196364,0.0185878075,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.62222060390131,0.813037422174226,3.83482396363636e-05,1.20776e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.115320187879736,0.614956864632649,2.44203581818182e-05,1.19712e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.670367734378901,0.813037422174226,0.000365623028,0.0001246958,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.156468314669846,0.614956864632649,0.000820955078181817,0.0005215099,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.383147644952977,0.806515210141882,8.72923418181818e-05,0,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.634529106308807,0.813037422174226,5.23008305454545e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.845256423868965,0.887256743067423,0.000220258513818182,7.69379e-05,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.17857014244429,0.685871683479204,0.00137838485927273,0.0003186408,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.252436566115964,0.707839484691873,0.00491431023672728,0.0075045941,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.426533072973234,0.813037422174226,0.000330139621090909,0,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.00792191217113877,0.286423364139447,0.000284966473818182,0.0029129429,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0702712618595861,0.593792162713503,3.0563376e-05,4.61894e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.740674193853659,0.820308527299366,0.102601586236364,0.0967077343,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.429541114513023,0.813037422174226,2.01341214545454e-05,0,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.37284306170129,0.806515210141882,5.77126872727273e-06,0,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.523535332040443,0.813037422174226,0.00594374278181818,0.0114645773,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.680403033857412,0.813037422174226,9.18645334545455e-05,7.66948e-05,FALSE
