"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0055375406061899,0.0252930908769215,0.0264003204196364,0.0237408680433884,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00656596518482412,0.0277412029058819,3.83482396363636e-05,2.13877272727273e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.826346700732497,0.908631528161491,2.44203581818182e-05,2.62042231404959e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.136810557227997,0.292670685715589,0.000365623028,0.000358848626033058,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0627171069652509,0.163064478109652,0.000820955078181817,0.00102825690909091,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.168811695530624,0.356614706808443,8.72923418181818e-05,6.27713305785124e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.274524162763468,0.450432849582778,5.23008305454545e-05,4.58079669421488e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.00954563560670179,0.038409819465062,0.000220258513818182,0.000214202117768595,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.26584311125287,0.442440776939391,0.00137838485927273,0.00216344754132231,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0536833094140877,0.146330311144852,0.00491431023672728,0.0049073902107438,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.00569837234606008,0.0253390612864253,0.000330139621090909,0.000106984785123967,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.74111381581504,0.850344417308436,0.000284966473818182,0.000416266140495868,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0712722311256804,0.179776224779701,3.0563376e-05,9.35537582644628e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0107049161650386,0.0420728100439889,0.102601586236364,0.111718791305785,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.539281627041263,0.701066115153642,2.01341214545454e-05,9.52673966942149e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.267035261821408,0.442440776939391,5.77126872727273e-06,5.53215909090909e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.672941003528174,0.812335925687582,0.00594374278181818,0.00641025312396694,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.484717104717609,0.660924415280885,9.18645334545455e-05,0.00014136904338843,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.964828637617475,0.974540122394163,0.000126498141818182,0.000134184398760331,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.59890937234518,0.744232970046584,1.69779963636364e-06,5.50701239669422e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.204010400631791,0.393932287941705,9.67346e-06,1.10629049586777e-05,FALSE
