"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.223669488071825,0.328696899862074,0.0264003204196364,0.0240038410289855,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0563515003279174,0.108220494947932,3.83482396363636e-05,3.2093768115942e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.08444251271001e-06,7.96829498469531e-06,2.44203581818182e-05,0.000193784826086957,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.772993729942704,0.82680974911593,0.000365623028,0.000286397057971014,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.000538717734754097,0.00202318438163205,0.000820955078181817,0.00208199372463768,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.32143655543329,0.432454705318661,8.72923418181818e-05,0.000101786666666667,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.0059952918224005,0.0168867386330947,5.23008305454545e-05,0.000188667028985507,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.154885969472294,0.249292655626835,0.000220258513818182,0.000238233536231884,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.492351528541061,0.581869988275799,0.00137838485927273,0.00361750046376812,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",2.36174532783478e-12,9.35879970133223e-11,0.00491431023672728,0.00207976976811594,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.000607775655742354,0.00218540608128634,0.000330139621090909,3.60730579710145e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.134005646305023,0.217759175245662,0.000284966473818182,0.000420748246376812,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0282696009180994,0.0628626651994578,3.0563376e-05,5.37134057971014e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.000207331244925007,0.000894776718154648,0.102601586236364,0.148272220811594,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.608513037354278,0.67657041653206,2.01341214545454e-05,4.80869565217391e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0192818226362955,0.0446387400758073,5.77126872727273e-06,0,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.959449494293547,0.970939907398859,0.00594374278181818,0.00751885260869565,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.990247008947354,0.990247008947354,9.18645334545455e-05,0.00020384384057971,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.597812591669692,0.672324941149757,0.000126498141818182,7.80309420289855e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.362892619850145,0.475417463214531,1.69779963636364e-06,7.0962463768116e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.163858164178604,0.261245563643246,9.67346e-06,1.77321739130435e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.182272244691349,0.280550399022443,0.00109256124436364,0.000322688971014493,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.553460204830743,0.63199172038105,0.000124930004,6.63479275362319e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.82597009218807,0.867012084346484,0.000127973106181818,0.000542232347826087,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.712300565673761,0.771658946146575,3.37328512727273e-05,1.0881652173913e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0442578131454032,0.0901153062840137,6.59804029090909e-05,1.9235652173913e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",2.31195227245771e-06,1.50276897709751e-05,0.0189265405999999,0.0119595009855072,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",2.17392659098414e-07,1.669970881256e-06,0.001140682888,0.000762045014492754,FALSE
