"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.915209245238236,0.949338334169737,0.0264003204196364,0.0249140099361702,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.853322920425573,0.91854505447084,3.83482396363636e-05,5.84941808510638e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.587902350394517,0.78825669551857,2.44203581818182e-05,3.45488723404255e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00472679180190078,0.0469898714424254,0.000365623028,0.000587026946808511,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.00405381282687216,0.0456729578494263,0.000820955078181817,0.00134161885106383,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.580020766277385,0.78825669551857,8.72923418181818e-05,0.000153179712765957,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.511941482737388,0.733204326971344,5.23008305454545e-05,0.000232917670212766,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.101102336237576,0.328582592772124,0.000220258513818182,0.000189520776595745,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.504389612276225,0.733204326971344,0.00137838485927273,0.00159603135106383,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000673037341058319,0.014217913829857,0.00491431023672728,0.00309487780851064,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",7.09422983980218e-05,0.00239784968585314,0.000330139621090909,0.000413103787234042,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.910505814134747,0.949338334169737,0.000284966473818182,0.000111723606382979,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.126485138429914,0.369038823697325,3.0563376e-05,0.000242443117021277,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0703181306708165,0.286874086975593,0.102601586236364,0.115936972819149,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.787919769154592,0.864665201215104,2.01341214545454e-05,2.75523723404255e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.253575904593707,0.516317203329355,5.77126872727273e-06,2.39574468085106e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0391963939356848,0.203395714616145,0.00594374278181818,0.0079964419787234,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0842790276853443,0.307652612208044,9.18645334545455e-05,0.000164700223404255,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.987555376453678,0.987555376453678,0.000126498141818182,0.000106478106382979,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.652103363455985,0.828612544541815,1.69779963636364e-06,7.73404255319149e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0932925242605416,0.328467429167324,9.67346e-06,1.68441063829787e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.109996341415226,0.350743050927797,0.00109256124436364,0.000533724265957447,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.120505196385766,0.369038823697325,0.000124930004,0.000129197968085106,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.71102103660501,0.85414256404692,0.000127973106181818,7.73860212765957e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.677173726431937,0.835345691729908,3.37328512727273e-05,3.20165319148936e-05,FALSE
