"OTU","Genus","Phylum","p_value","p_adj_BH","control","Lung.cancer","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0556331344509354,0.55305880718871,0.0264003204196364,0.0420571746666667,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.457279762144794,0.914468534261934,3.83482396363636e-05,0,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.790322427498594,0.914468534261934,2.44203581818182e-05,0,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.222826878593601,0.914468534261934,0.000365623028,0,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.712321434283472,0.914468534261934,0.000820955078181817,6.96306666666667e-05,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.633257573584862,0.914468534261934,8.72923418181818e-05,0,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.795345115345058,0.914468534261934,5.23008305454545e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.361504346159393,0.914468534261934,0.000220258513818182,0,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.03711391059826,0.517352489761339,0.00137838485927273,0,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.198538084241453,0.914468534261934,0.00491431023672728,0.00205839933333333,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0376771455876137,0.517352489761339,0.000330139621090909,0.000201764666666667,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.613209900567157,0.914468534261934,0.000284966473818182,0,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.805781218488147,0.914468534261934,3.0563376e-05,0,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0527280298284473,0.55305880718871,0.102601586236364,0.205155657333333,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.665670639056324,0.914468534261934,2.01341214545454e-05,0,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.625837530095363,0.914468534261934,5.77126872727273e-06,0,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.764330217622877,0.914468534261934,0.00594374278181818,0.00493217766666667,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.186995561667444,0.914468534261934,9.18645334545455e-05,0,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.918297364394819,0.963927047097667,0.000126498141818182,9.0957e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.830590481348016,0.914468534261934,1.69779963636364e-06,0,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.49665138114847,0.914468534261934,9.67346e-06,0,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.969498525945247,0.977667359393388,0.00109256124436364,3.14e-05,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.235562948355147,0.914468534261934,0.000124930004,0,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.22552411205633,0.914468534261934,0.000127973106181818,5.7346e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.572089977081517,0.914468534261934,3.37328512727273e-05,0,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.762415345674368,0.914468534261934,6.59804029090909e-05,0,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.302748892806808,0.914468534261934,0.0189265405999999,0.0127667486666667,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.339152502565342,0.914468534261934,0.001140682888,0.000363694,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.464481172690057,0.914468534261934,0.0231263851381818,0.0127587176666667,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.0244709069429545,0.517352489761339,0.0269819593796364,0.00518026433333333,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.181559107690181,0.914468534261934,0.002038417492,0.000674996333333333,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.829311369466793,0.914468534261934,0.00556697774036365,0.003874357,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.668347688546135,0.914468534261934,0.079268885846909,0.063390636,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.782209574504826,0.914468534261934,0.000210420472363636,0,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.745515164291718,0.914468534261934,0.000133819138909091,0,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.635137158544606,0.914468534261934,2.83582345454545e-05,0,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.103882058273455,0.836003230867329,0.00472671352727272,0.000645364,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.0768657360913112,0.683700494706926,0.00313383203781819,0.000646038666666667,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.774389612309623,0.914468534261934,1.53993483636364e-05,0,FALSE
