"OTU","Genus","Phylum","p_value","p_adj_BH","control","Prostate.cancer","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.634454616958513,0.794243187155472,0.0264003204196364,0.02609978175,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.365018906548933,0.775700944358152,3.83482396363636e-05,2.652325e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.449987824114811,0.775700944358152,2.44203581818182e-05,0,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0233321051849167,0.55552717986436,0.000365623028,0.000949151791666667,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.843132093680021,0.919285960205958,0.000820955078181817,0.000654387041666667,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.071723191100351,0.662320843904719,8.72923418181818e-05,0.000330765,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.461066397861316,0.775700944358152,5.23008305454545e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.0698438756212323,0.662320843904719,0.000220258513818182,0.000195268541666667,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.257988473953866,0.768720195339973,0.00137838485927273,0.000792523083333333,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0453972120535167,0.61450726614247,0.00491431023672728,0.003182933875,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.173211944427999,0.686056395390582,0.000330139621090909,6.5086625e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.987988906123437,0.993869792469409,0.000284966473818182,6.23808333333333e-06,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.484496083356326,0.775700944358152,3.0563376e-05,0,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.00846269107850116,0.286038958453339,0.102601586236364,0.154901526875,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.220920333042249,0.739062519097013,2.01341214545454e-05,0,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.167366430482047,0.686056395390582,5.77126872727273e-06,0,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.135900928290441,0.670411490327778,0.00594374278181818,0.00748315508333333,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.130826688686014,0.670411490327778,9.18645334545455e-05,0.000148462625,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.865342028806573,0.923162320201797,0.000126498141818182,9.3908625e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.54230754240495,0.775700944358152,1.69779963636364e-06,0,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.515394327070143,0.775700944358152,9.67346e-06,1.80267083333333e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.10248943197188,0.668756658559439,0.00109256124436364,2.59646666666667e-05,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.74232773435775,0.865195773147999,0.000124930004,5.1468875e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.213206212358792,0.739062519097013,0.000127973106181818,2.72916666666667e-06,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.344320788012091,0.775700944358152,3.37328512727273e-05,2.925e-06,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.390881085403709,0.775700944358152,6.59804029090909e-05,0,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.368316423934119,0.775700944358152,0.0189265405999999,0.0163337794583333,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.350283178498637,0.775700944358152,0.001140682888,0.00109276241666667,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.148714656167316,0.677116850447559,0.0231263851381818,0.0169396850416667,FALSE
"RSV_genus259","Prevotella","Bacteroidetes",0.00660292848405827,0.278973728451462,0.0269819593796364,0.0155438765833333,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.181351726488755,0.686056395390582,0.002038417492,0.00123988170833333,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.564563409207413,0.775700944358152,0.00556697774036365,0.00628217775,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.670622908634008,0.826961159874843,0.079268885846909,0.0840426415833333,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.432371733217708,0.775700944358152,0.000210420472363636,0,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.357191528093747,0.775700944358152,0.000133819138909091,0,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.597898809303545,0.787995290198434,2.83582345454545e-05,1.21342083333333e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.487261336995474,0.775700944358152,0.00472671352727272,0.00350648816666667,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.811911573338409,0.9027174729881,0.00313383203781819,0.00285150441666667,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.678151130024996,0.826961159874843,1.53993483636364e-05,1.6125e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.963466978397018,0.975005505084407,0.00128637445490909,0.000624704083333333,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.286893465436147,0.775700944358152,7.19863090909091e-06,2.92916666666667e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.785056143890972,0.885851802515799,0.0474360664145454,0.0450311060416667,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.381825312491935,0.775700944358152,0.000291499650909091,6.44394583333333e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.0577523784992518,0.650676797758237,0.00151395832145455,0.000729026041666667,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.613625609373921,0.790846960653834,3.40007927272727e-06,0,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.456885052466371,0.775700944358152,0.0226921214825455,0.0201537250833333,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.731570009553431,0.858578691767568,0.00465615702872727,0.00180805025,FALSE
"RSV_genus523","Leuconostoc","Firmicutes",0.156257734718667,0.677116850447559,3.07296261818182e-05,5.17725e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.59560060488009,0.787995290198434,0.000125008264,0,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.561550753504479,0.775700944358152,0.000145915523636364,3.10564583333333e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.68213580987083,0.826961159874843,0.314954038696,0.33641357425,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.182677738417611,0.686056395390582,2.61234563636364e-05,0,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.589827898616261,0.787995290198434,5.93250654545454e-06,0,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.259272491919399,0.768720195339973,0.000291873706545454,0.000194329458333333,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",0.230211221637455,0.739062519097013,9.77305585454545e-05,8.18295e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.771369747846745,0.885851802515799,4.62562189090909e-05,3.7871125e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.13965877232328,0.670411490327778,3.32202716363637e-05,0,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.102377761723729,0.668756658559439,4.25314323636364e-05,2.60089583333333e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.297971791268383,0.775700944358152,2.91351349090909e-05,0,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.79803937712477,0.893169898901233,0.00488086447418182,0.004382722125,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.00626590751027839,0.278973728451462,5.55397138181818e-05,0.000250068041666667,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.231777003030424,0.739062519097013,2.34220389090909e-05,0,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.560759162987093,0.775700944358152,0.000122288470545455,9.76786666666667e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.0513706183072464,0.620116749566045,0.000612991496,0.000225338208333333,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.724145177898698,0.855807937516643,0.0027886959629091,0.00235120466666667,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.685056582144841,0.826961159874843,0.00138371456763637,0.00133369754166667,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.243950496523602,0.763025216963851,0.00201779577890909,0.0014655535,FALSE
"RSV_genus589","Blautia","Firmicutes",0.399954253150072,0.775700944358152,8.54126418181818e-05,0,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.949148506814339,0.966301793082068,0.000205211633454545,0.000162173958333333,FALSE
"RSV_genus592","Catonella","Firmicutes",0.913924645320676,0.94756604330794,0.000813160207272726,0.000878234666666667,FALSE
"RSV_genus600","Howardella","Firmicutes",0.212044843451861,0.739062519097013,2.33663727272727e-05,2.49345416666667e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.391797173386245,0.775700944358152,1.59304534545455e-05,1.0417125e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.0920726234755961,0.668756658559439,0.000279289325818182,0.000169130375,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.488435508768661,0.775700944358152,0.00237362119781819,0.00184002254166667,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.823381415434547,0.909486661493062,7.09257396363636e-05,9.93425e-06,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.097331414091051,0.668756658559439,6.33122785454545e-05,0,FALSE
"RSV_genus625","Moryella","Firmicutes",0.223152773950727,0.739062519097013,1.83195898181818e-05,1.98516666666667e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.890540753630774,0.934791225860875,0.00314229164254546,0.00286013645833333,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.0823002232070952,0.662320843904719,0.000225955662909091,0.000102031,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.472419061498994,0.775700944358152,0.00271194196036363,0.00341130391666667,FALSE
"RSV_genus644","Peptococcus","Firmicutes",0.142809548235503,0.670411490327778,0.000766790306181818,0.000422834208333333,FALSE
"RSV_genus646","Filifactor","Firmicutes",0.178247051562901,0.686056395390582,0.00177999798436364,0.00122120891666667,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.0325848574459098,0.611871212039862,0.000323414414909091,0.000229313791666667,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",0.131451061468838,0.670411490327778,0.00377935172218182,0.00242583091666667,FALSE
