"OTU","Genus","Phylum","p_value","p_adj_BH","control","Stroke","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.846675906850148,0.952049092845145,0.0264003204196364,0.0255608955051546,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0026021521691454,0.0133261732298658,3.83482396363636e-05,1.28268144329897e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.862768479047798,0.952992633719464,2.44203581818182e-05,4.25232680412371e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.330018820757626,0.591383905610045,0.000365623028,0.000900569453608247,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.00232010901083255,0.0129559303969293,0.000820955078181817,0.000958804257731959,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.933052965225418,0.979415845485066,8.72923418181818e-05,6.17036597938144e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.559769731055035,0.84465254060983,5.23008305454545e-05,0.000179993525773196,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.0795830505933859,0.21014899297316,0.000220258513818182,0.000209939154639175,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.651774440692966,0.889309597623572,0.00137838485927273,0.0012662985257732,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.00740249990051443,0.0284323291633395,0.00491431023672728,0.00406888428865979,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.000172849008456599,0.00171832249583325,0.000330139621090909,6.30235670103093e-05,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.830426859298377,0.952049092845145,0.000284966473818182,0.000517563886597938,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.971075287674441,0.982704931838207,3.0563376e-05,5.22717525773196e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.000218406353789649,0.00184553368952254,0.102601586236364,0.14239127842268,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.79141327095907,0.950421440340783,2.01341214545454e-05,6.87582474226804e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.652511184055166,0.889309597623572,5.77126872727273e-06,3.08247422680412e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.918859476518712,0.979415845485066,0.00594374278181818,0.00624045263917526,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.433469005726004,0.718198646742105,9.18645334545455e-05,0.000110764340206186,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.692370788732017,0.907283169322095,0.000126498141818182,0.000156744082474227,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.672560801924811,0.894982484451126,1.69779963636364e-06,1.62783505154639e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.713675908682336,0.920696401277212,9.67346e-06,6.73098969072165e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.692541590784321,0.907283169322095,0.00109256124436364,0.00471251880412371,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.106369445527312,0.272370246880541,0.000124930004,0.000130560391752577,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.499103644365336,0.786972956994512,0.000127973106181818,1.06956391752577e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.20435697740659,0.442773451047612,3.37328512727273e-05,4.07757731958763e-06,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.931547589225773,0.979415845485066,6.59804029090909e-05,8.95091340206186e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.74628817257466e-05,0.000327914112405687,0.0189265405999999,0.0138497666391753,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.011398889213278,0.040133589105083,0.001140682888,0.00121391377319588,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",6.26222826436987e-07,3.52772192226169e-05,0.0231263851381818,0.0135418201134021,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",3.20531560707694e-05,0.000541698337596003,0.0269819593796364,0.0207833191546392,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.00203772037405387,0.012299097971968,0.002038417492,0.00148576794845361,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.578139337393958,0.85706621069806,0.00556697774036365,0.00674801272164949,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.490240989767508,0.786972956994512,0.079268885846909,0.0762836815979381,FALSE
