"OTU","Genus","Phylum","p_value","p_adj_BH","Normal","Elevated","Hypertension.Stage.1","Hypertension.Stage.2","Hypertensive.Crisis","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0904794868007239,0.223995512148698,0.0255258802709415,0.0300903048913649,0.0263222372055138,0.0247577365449541,0.0258316444814815,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0378758996014715,0.116382309684521,3.7747185693106e-05,3.77229066852368e-05,3.52577343358396e-05,1.83155889908257e-05,4.05007777777778e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0750339273926904,0.189264682527831,2.22381812453669e-05,2.12882841225627e-05,1.03540827067669e-05,3.80220752293578e-05,0,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",6.0290559687742e-09,5.99359093366376e-08,0.000336979082283173,0.000439660381615599,0.000274673140350877,0.000443856803669725,0.00101361581481481,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.19357088406515e-10,2.24126088230011e-09,0.000658110485544847,0.00092059477994429,0.000945003848370928,0.000966788752293578,0.00146098122222222,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.931968159013435,0.943129454330962,8.15898565604151e-05,5.53077075208914e-05,7.9127760651629e-05,2.70266183486239e-05,0.000111943888888889,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.740968972753944,0.818011639956076,5.33545196441809e-05,6.74374331476323e-05,3.41551804511278e-05,4.98291688073395e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",3.17881651656415e-11,8.9536665216557e-10,0.000175122053743514,0.000213366665738162,0.000249610790726817,0.000317506181651376,0.000501710851851852,TRUE
"RSV_genus51","Scardovia","Actinobacteria",0.454890084281053,0.62501157921543,0.00146148288028169,0.00167586950835655,0.00140474083709273,0.00149969991376147,0.000872640407407407,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",3.99345089420401e-05,0.000281205500466866,0.00498983564381023,0.00492706314345404,0.0047349134010025,0.00477392418165138,0.00237121814814815,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0203179866290287,0.0686747948061169,0.000194222934395849,0.000860449566852368,0.000359063315789473,0.000107266044036697,1.20198518518519e-05,FALSE
