"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0100036146926959,0.0301894800547431,0.0273356904705882,0.0286122883969631,0.0249617252960596,0.024092708041709,0.0257105377437186,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",2.27224653940171e-05,0.000166960723982126,4.27893760504202e-05,4.52244652928417e-05,4.26326602768903e-05,2.89454313326551e-05,2.25939417085427e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.978059984278745,0.978059984278745,2.58936334033614e-05,2.29715379609545e-05,1.26586943556975e-05,1.17798413021363e-05,3.24566442211055e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",6.85417197810909e-10,1.44794383037554e-08,0.000214716328781513,0.000390499467462039,0.000402318633652822,0.000345230929806714,0.000445448259296482,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.000918243122228605,0.00369483542039605,0.000682729199579832,0.0006246897505423,0.000948071272630459,0.000642183985757884,0.000975097210050252,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.506468907138242,0.642566292087425,8.35926344537815e-05,6.54852331887202e-05,0.000123860381256656,7.39999582909461e-05,4.65420251256281e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.163195735289958,0.299783470260901,6.91872037815126e-05,4.41352169197397e-05,5.65482481363152e-05,5.44940773143438e-05,2.86981567839196e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.39876278815187e-07,1.81839162459743e-06,0.000153859347689076,0.00016644523318872,0.0002035386485623,0.00026007484231943,0.000254602959798995,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.0322253992870963,0.0850951949924886,0.00143092798109244,0.00143155389804772,0.0012514824515442,0.00148046400915565,0.0017246525798995,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",7.37479675097492e-08,1.04741932157357e-06,0.0054164947605042,0.00512385829609544,0.00488441866773162,0.00427481838758902,0.00492984959698493,TRUE
