"Metric","Age_group","N","Mean","SD","Median","Q25","Q75"
"Observed OTUs","14-19",172,125.029069767442,33.5885714561209,122.5,104.75,145
"Observed OTUs","20-24",92,139.978260869565,37.1080922606903,139,114.5,163
"Observed OTUs","25-29",75,146.346666666667,44.4924813974328,148,114,175
"Observed OTUs","30-34",65,136.215384615385,45.6780487172491,131,103,162
"Observed OTUs","35-39",79,140.810126582278,39.1993838090526,142,112.5,166.5
"Observed OTUs","40-44",99,142.030303030303,54.3633757540555,138,99,178
"Observed OTUs","45-49",90,128.422222222222,44.6901888983509,121,100,154
"Observed OTUs","50-54",82,140.69512195122,49.9225793256734,140,103.25,181
"Observed OTUs","55-59",62,127.677419354839,49.0916754298505,125,102.25,148.25
"Observed OTUs","60-64",111,119.720720720721,42.823776567181,121,86,150.5
"Observed OTUs","65-69",68,108.397058823529,42.0568697090955,108.5,73.75,135
"Shannon Diversity","14-19",172,4.47833753488372,0.576096430077886,4.5532525,4.15331875,4.838258
"Shannon Diversity","20-24",92,4.55094218478261,0.752501216653158,4.6464205,4.2384835,5.01757075
"Shannon Diversity","25-29",75,4.70652452,0.665036585439465,4.768513,4.3591505,5.1685415
"Shannon Diversity","30-34",65,4.50503213846154,0.800915449117561,4.555013,4.059508,5.067724
"Shannon Diversity","35-39",79,4.59191958227848,0.652576717396951,4.665906,4.069276,5.010776
"Shannon Diversity","40-44",99,4.54259338383838,0.885980712315647,4.63627,4.043328,5.174772
"Shannon Diversity","45-49",90,4.41970124444444,0.830415604273084,4.476803,3.911505,4.9632645
"Shannon Diversity","50-54",82,4.53659174390244,0.75858066445345,4.591741,4.13428825,5.01056625
"Shannon Diversity","55-59",62,4.53483017741936,0.663606790405838,4.643518,4.166334,4.935056
"Shannon Diversity","60-64",111,4.43655452252252,0.688596537178285,4.423643,4.025341,4.836196
"Shannon Diversity","65-69",68,4.42642855882353,0.654484216323175,4.3903515,4.03740775,4.90617625
"Inverse Simpson","14-19",172,0.887862937209302,0.0670004551810575,0.90885105,0.8663005,0.927353625
"Inverse Simpson","20-24",92,0.882771938043478,0.0924211404181964,0.9139858,0.85065565,0.934653975
"Inverse Simpson","25-29",75,0.9022637,0.0565955156785961,0.9161204,0.8909612,0.9418803
"Inverse Simpson","30-34",65,0.887885252307692,0.0725117410492779,0.9144217,0.8644544,0.9343316
"Inverse Simpson","35-39",79,0.89316893164557,0.0609673992126342,0.9035392,0.8708644,0.9357985
"Inverse Simpson","40-44",99,0.883493693939394,0.0858702713135436,0.908562,0.8670867,0.93811765
"Inverse Simpson","45-49",90,0.881649225555556,0.0867916478710379,0.9082118,0.860048175,0.9340174
"Inverse Simpson","50-54",82,0.889836647560976,0.0622517855014066,0.90617965,0.86613415,0.933368875
"Inverse Simpson","55-59",62,0.901922491935484,0.0416851298240468,0.91125115,0.8860144,0.931889625
"Inverse Simpson","60-64",111,0.894994462162162,0.0631515638718703,0.9126255,0.8770183,0.93257995
"Inverse Simpson","65-69",68,0.904979692647059,0.0416898514051487,0.91076315,0.885188875,0.934604875
