"Variable","N_Levels","N_Complete","Reference_Level"
"CHD",2,5470,"control"
"CVD",2,5844,"control"
"Gender",2,9662,"Female"
"AgeGroup",5,8520,"18-29"
"AgeGroup_5years",11,9662,"14-19"
"EducationLevel",5,7996,"< 9th Grade"
"Ethnicity",5,9662,"White"
"Marital_Status",6,7999,"Divorced"
"Household_Size_Factor",7,9662,"1"
"US_Born",1,9662,"US Born"
"Interview_Language",2,9662,"English"
"Age_group",5,8520,"30-39"
"Age_group_5years",11,9662,"30-34"
"Education_level",5,7996,"College/AA"
"US_born",1,9662,"US Born"
"Household_size",7,9662,"4"
"Marital_status",6,7999,"Married"
"Interview_language",2,9662,"English"
"Income_to_poverty_ratio",7,8857,"150-184%"
"Denture",2,4403,"control"
"Gum_disease",2,6520,"control"
"Oral_hygiene",2,6741,"control"
"Tooth_decay",2,6318,"control"
"Oral_all",5,8364,"Control"
"Smoking_status",3,8000,"Never smoker"
"Hepatitis_C_antibody",2,9098,"Negative"
"HPV_PCR_summary",2,0,"Negative"
"BMI_category",5,9587,"Healthy weight"
"Blood_pressure",5,9342,"Normal"
"Pulse_category",5,9355,"70-75 bpm"
"Asthma",2,6864,"control"
"Bronchitis",2,5737,"control"
"Emphysema",2,5447,"control"
"Angina",2,5459,"control"
"Heart_failure",2,5513,"control"
"Heart_attack",2,5538,"control"
"Stroke",2,5504,"control"
"Diabetes",2,6310,"control"
"Breast_cancer",2,5389,"control"
"Colon_cancer",2,5354,"control"
"Lung_cancer",2,5338,"control"
"Esophageal_cancer",2,5335,"control"
"Prostate_cancer",2,5386,"control"
"Mouth_cancer",2,5333,"control"
"Outwas_all",17,8112,"Control"
